,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,opp_pts,pts,school_name,sos,srs,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
20,63.1,6.3,.449,.257,.320,.462,33,15,5,3,8,1968,2083,Holy Cross,-5.10,-1.62,18.4,54.3,.499,.545,18,9,9,6
21,53.6,2.6,.506,.317,.270,.411,34,14,8,2,10,2400,2503,Illinois-Chicago,1.42,1.45,15.7,49.0,.536,.588,20,8,11,3
22,65.0,7.2,.536,.358,.330,.446,35,9,5,1,6,2369,2708,Illinois,9.94,19.20,17.9,53.1,.578,.743,26,11,13,5
23,59.6,9.3,.528,.331,.254,.365,37,12,5,1,5,2316,2607,Indiana,12.08,19.19,17.9,51.2,.558,.676,25,11,10,6
24,60.9,8.5,.551,.216,.251,.349,37,4,0,0,1,2765,3365,Kansas,9.35,24.38,17.2,55.5,.580,.892,33,16,13,11
25,49.0,3.7,.522,.292,.255,.350,36,6,1,0,3,2305,2732,Kent State,2.10,13.67,13.8,53.7,.557,.833,30,17,12,10
26,52.0,8.1,.502,.342,.213,.316,32,10,6,3,4,2183,2460,Kentucky,11.99,19.15,16.5,53.7,.529,.688,22,10,12,5
27,53.0,6.4,.520,.248,.271,.391,33,7,3,0,6,2004,2413,Marquette,4.77,17.16,17.2,53.4,.553,.788,26,13,16,5
28,65.9,9.4,.530,.258,.301,.415,36,4,1,0,2,2552,3060,Maryland,9.38,23.50,15.5,52.4,.569,.889,32,15,15,7
29,52.1,9.3,.491,.276,.264,.404,30,9,3,0,8,1909,2102,McNeese State,-5.80,-0.59,19.3,52.9,.523,.700,21,17,13,8
30,64.2,10.1,.492,.360,.275,.356,32,8,6,2,4,2156,2395,Miami (FL),5.52,12.99,17.1,48.8,.538,.750,24,10,13,5
31,57.3,5.4,.516,.277,.267,.346,31,12,6,2,5,1978,2150,Michigan State,9.60,14.90,19.3,55.9,.558,.613,19,10,15,4
32,60.0,5.9,.529,.280,.256,.393,35,8,6,1,5,2334,2582,Mississippi State,7.33,14.42,20.0,54.5,.554,.771,27,10,14,7
33,57.3,3.5,.533,.382,.313,.425,31,11,7,1,7,1993,2232,Mississippi,6.85,13.61,19.7,51.9,.574,.645,20,9,13,4
34,52.3,7.2,.530,.370,.217,.315,36,12,7,3,6,2610,2877,Missouri,6.81,14.22,16.5,53.0,.555,.667,24,9,14,4
35,59.5,6.8,.519,.357,.290,.432,31,15,7,4,8,2263,2218,Montana,-1.71,-4.20,18.7,48.6,.551,.516,16,7,9,4
36,49.4,8.6,.500,.312,.202,.279,32,13,6,4,8,2349,2514,Murray State,-1.94,0.65,16.1,53.9,.530,.594,19,10,11,5
37,63.4,4.0,.525,.405,.294,.389,34,11,7,4,5,2304,2565,North Carolina State,8.17,15.85,16.6,49.8,.567,.676,23,9,14,6
38,57.8,6.0,.496,.328,.250,.363,33,10,4,2,7,2034,2240,North Carolina-Wilmington,-0.09,6.15,16.0,49.6,.530,.697,23,14,11,9
39,67.3,7.8,.518,.316,.240,.339,33,11,6,4,4,2256,2601,Notre Dame,6.17,15.70,15.5,52.1,.550,.667,22,10,9,7
40,58.5,4.5,.536,.274,.316,.467,32,8,5,2,5,2078,2362,Ohio State,7.26,16.14,16.8,52.5,.568,.750,24,11,15,5
41,55.1,6.0,.493,.274,.245,.380,32,9,6,2,5,2050,2293,Oklahoma State,6.80,14.39,18.1,54.4,.521,.719,23,10,13,5
42,51.1,6.8,.495,.295,.241,.314,36,5,3,0,4,2327,2807,Oklahoma,7.70,21.04,14.0,54.0,.535,.861,31,13,16,7
43,57.2,5.2,.560,.346,.318,.414,35,9,4,0,7,2538,2994,Oregon,6.93,19.67,16.2,51.7,.601,.743,26,14,17,5
44,68.8,6.1,.557,.393,.262,.358,32,7,3,3,2,2039,2342,Pennsylvania,-1.51,7.96,17.5,49.0,.588,.781,25,11,13,10
45,49.1,8.5,.514,.319,.238,.332,31,9,1,1,6,2319,2519,Pepperdine,3.36,8.59,16.3,49.1,.547,.710,22,13,11,7
46,63.6,8.1,.526,.345,.230,.380,35,6,3,1,2,2133,2530,Pittsburgh,4.55,14.69,17.6,54.5,.543,.829,29,13,16,7
47,52.1,6.6,.515,.215,.261,.395,33,12,7,3,8,2339,2455,San Diego State,6.02,7.69,18.4,52.4,.543,.636,21,7,12,6
48,54.5,7.2,.478,.353,.274,.369,36,19,9,5,11,2482,2517,Siena,-3.71,-2.74,18.6,50.4,.524,.472,17,9,12,3
49,55.4,7.1,.489,.281,.230,.333,32,10,6,2,6,2232,2494,Southern California,8.31,16.49,14.0,51.3,.522,.688,22,12,13,9
50,56.0,8.5,.513,.284,.258,.416,36,8,4,0,5,2425,2717,Southern Illinois,1.67,9.79,16.3,52.2,.536,.778,28,14,13,9
51,46.9,6.8,.437,.248,.278,.415,32,12,7,2,7,2202,2250,St. John's (NY),6.30,7.80,17.1,50.0,.481,.625,20,9,14,3
52,58.4,7.2,.508,.334,.312,.446,30,10,6,3,5,2180,2420,Stanford,9.03,17.03,15.6,55.7,.548,.667,20,12,10,7
53,63.2,6.5,.502,.194,.262,.384,32,9,6,2,5,2292,2532,Texas Tech,7.22,14.72,14.4,49.2,.536,.719,23,10,15,6
54,54.4,6.4,.500,.260,.267,.388,34,12,6,5,3,2489,2657,Texas,9.98,14.31,15.8,53.3,.535,.647,22,10,10,7
55,61.0,7.7,.541,.317,.270,.359,34,7,3,3,2,2363,2726,Tulsa,2.30,12.66,15.6,50.9,.578,.794,27,15,13,10
56,52.7,4.6,.530,.299,.235,.339,33,12,7,4,6,2398,2476,UCLA,10.77,13.14,18.3,52.1,.558,.636,21,11,11,5
57,63.8,5.6,.549,.397,.277,.411,30,9,4,2,6,1839,2018,Utah,5.18,10.68,18.5,50.6,.575,.700,21,10,14,6
58,63.8,7.3,.518,.395,.253,.379,33,8,2,1,5,2180,2564,Valparaiso,-1.24,9.38,15.7,50.8,.546,.758,25,12,11,8
59,55.2,6.6,.535,.313,.261,.354,34,13,7,3,7,2620,2789,Wake Forest,10.28,15.25,16.9,52.0,.570,.618,21,9,13,5
60,57.2,5.9,.539,.390,.244,.349,32,4,1,0,3,2069,2491,Western Kentucky,-0.28,10.46,17.2,54.6,.567,.875,28,13,14,10
61,49.5,7.7,.474,.363,.258,.394,31,12,4,4,5,2018,2092,Winthrop,-8.21,-6.54,18.2,52.1,.508,.613,19,10,9,7
62,55.7,3.5,.499,.354,.281,.391,32,13,5,1,8,2101,2144,Wisconsin,9.22,10.09,17.2,49.9,.540,.594,19,11,12,6
63,52.6,7.6,.493,.252,.345,.494,31,9,3,1,6,2129,2324,Wyoming,2.72,8.62,17.2,55.3,.539,.710,22,11,14,6
64,51.5,7.6,.505,.319,.327,.453,32,6,2,1,4,2003,2317,Xavier,4.09,13.90,17.1,52.7,.550,.813,26,14,13,9
