,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,opp_pts,pts,school_name,sos,srs,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
19,61.8,6.1,.565,.278,.308,.410,31,3,0,0,0,2052,2536,Gonzaga,3.32,18.94,16.5,55.8,.601,.903,28,14,14,11
20,57.8,5.1,.495,.228,.248,.390,32,8,4,1,3,2016,2223,Illinois-Chicago,-0.47,6.00,16.0,52.2,.522,.750,24,12,11,9
21,63.7,7.0,.528,.349,.209,.301,33,7,3,1,2,2077,2402,Illinois,7.08,16.93,15.6,52.0,.553,.788,26,13,12,7
22,63.9,8.4,.514,.292,.273,.386,33,9,4,1,5,2218,2503,Kansas,9.44,17.10,17.6,52.8,.550,.727,24,12,13,5
23,58.5,6.3,.527,.313,.239,.343,32,5,3,2,2,2036,2365,Kentucky,8.55,18.83,18.0,53.6,.556,.844,27,13,11,7
24,56.5,6.4,.482,.334,.248,.346,31,11,4,1,9,1974,2082,Lehigh,-8.88,-7.30,18.4,51.5,.520,.645,20,10,13,5
25,56.3,5.5,.482,.350,.230,.340,33,15,4,2,10,2224,2284,Liberty,-4.22,-3.12,19.2,51.5,.514,.545,18,12,13,4
26,59.5,3.7,.534,.372,.235,.341,29,9,3,1,7,2000,2234,Louisiana,0.42,6.24,17.4,48.7,.560,.690,20,12,10,6
27,62.4,9.0,.488,.406,.273,.365,30,10,7,2,6,1846,2195,Louisville,6.97,18.60,16.7,50.2,.532,.667,20,9,13,5
28,44.4,7.8,.494,.284,.352,.463,31,6,2,2,3,1984,2311,Manhattan,-1.26,9.29,15.8,50.9,.549,.806,25,16,13,8
29,50.6,11.3,.482,.242,.262,.416,32,12,9,4,5,2308,2477,Maryland,11.68,16.96,16.7,51.7,.512,.625,20,7,12,6
30,57.7,9.1,.494,.412,.252,.383,30,8,4,0,5,1959,2172,Memphis,5.96,13.06,15.6,52.3,.525,.733,22,12,15,6
31,59.0,3.6,.555,.312,.298,.386,30,12,4,2,6,2025,2138,Michigan State,8.38,12.15,19.6,51.4,.595,.600,18,12,12,5
32,50.6,7.5,.522,.317,.270,.406,30,4,2,2,0,1997,2318,Mississippi State,6.08,16.78,17.9,55.4,.550,.867,26,14,12,12
33,60.4,4.5,.483,.375,.285,.385,33,12,6,0,10,2226,2253,Monmouth,-5.66,-4.84,17.3,47.2,.529,.636,21,12,13,5
34,64.0,7.4,.551,.328,.258,.363,34,6,2,1,4,2342,2730,Murray State,-3.20,7.22,16.8,53.2,.579,.824,28,14,15,10
35,53.1,7.8,.496,.252,.304,.417,34,9,5,0,8,2257,2579,Nevada,5.82,14.91,15.7,53.9,.541,.735,25,13,15,5
36,59.7,4.1,.527,.446,.285,.357,31,10,5,3,6,2018,2261,North Carolina State,10.61,18.45,17.5,50.5,.573,.677,21,11,15,5
37,61.3,6.7,.510,.290,.269,.392,30,11,8,3,7,2243,2464,North Carolina,12.04,19.40,16.9,52.8,.543,.633,19,8,12,4
38,56.7,3.6,.508,.383,.291,.394,31,10,6,3,6,2015,2147,Northern Iowa,3.20,6.87,16.6,49.9,.550,.677,21,12,13,5
39,56.0,6.7,.556,.226,.270,.389,35,4,2,0,2,2188,2698,Oklahoma State,7.23,20.85,16.8,53.9,.583,.886,31,14,15,7
40,62.6,5.5,.528,.334,.336,.457,33,8,1,1,4,2097,2272,Pacific,0.95,5.76,19.2,50.5,.572,.758,25,17,12,9
41,57.9,8.5,.510,.255,.254,.389,36,5,3,1,2,2031,2446,Pittsburgh,6.49,18.20,16.7,53.9,.537,.861,31,13,19,7
42,59.3,6.8,.545,.379,.245,.344,28,8,1,2,3,1591,1760,Princeton,-3.32,1.54,19.5,52.4,.573,.714,20,13,10,10
43,63.5,8.8,.522,.395,.250,.347,29,9,5,4,3,1867,2060,Providence,8.21,14.87,18.9,50.5,.555,.690,20,11,11,8
44,55.1,8.3,.463,.339,.260,.361,33,13,6,4,7,1964,2129,Richmond,5.07,10.07,17.1,50.0,.507,.606,20,10,9,8
45,60.0,6.2,.561,.425,.237,.337,32,2,0,0,0,1994,2476,Saint Joseph's,4.97,20.03,14.9,47.3,.586,.938,30,16,9,13
46,50.4,5.3,.510,.296,.247,.346,31,10,6,2,5,2028,2228,Seton Hall,7.78,14.28,16.4,51.7,.544,.677,21,10,13,6
47,59.0,9.3,.492,.355,.239,.354,34,11,8,3,6,2130,2383,South Carolina,5.33,12.77,16.4,49.3,.524,.676,23,8,14,5
48,53.9,5.9,.495,.309,.210,.304,30,5,1,1,2,1889,2131,Southern Illinois,2.64,10.70,15.1,50.5,.524,.833,25,17,13,11
49,60.4,8.0,.527,.262,.276,.368,32,2,1,0,1,1936,2356,Stanford,4.34,17.46,17.9,55.0,.566,.938,30,17,14,10
50,54.9,11.1,.502,.235,.235,.366,31,8,5,3,3,2096,2265,Syracuse,7.61,13.06,15.6,50.6,.528,.742,23,11,14,6
51,62.7,4.6,.533,.293,.351,.467,32,8,5,1,5,2161,2479,Texas-El Paso,3.55,11.42,17.2,49.9,.580,.750,24,13,16,6
52,51.8,5.0,.491,.342,.285,.409,33,14,5,5,5,2367,2400,Texas-San Antonio,-6.11,-7.22,19.9,50.6,.530,.576,19,11,11,7
53,54.8,6.1,.496,.187,.262,.354,34,11,7,1,7,2269,2490,Texas Tech,8.21,14.71,15.5,48.7,.537,.676,23,9,15,4
54,49.4,6.7,.497,.298,.241,.355,33,8,4,1,3,2195,2529,Texas,8.40,18.52,14.0,54.5,.529,.758,25,12,15,6
55,55.5,6.7,.531,.310,.247,.341,33,9,5,1,5,1893,2134,Utah,4.53,11.37,19.6,56.0,.563,.727,24,9,15,6
56,62.0,5.4,.487,.307,.300,.425,31,13,5,5,6,2201,2217,Valparaiso,0.01,-0.09,19.3,51.6,.530,.581,18,11,10,4
57,64.3,6.2,.519,.382,.250,.352,33,10,8,2,6,2146,2414,Vanderbilt,7.58,15.70,16.1,50.4,.552,.697,23,8,15,4
58,60.9,5.1,.480,.355,.215,.317,31,9,3,2,5,1933,2045,Vermont,-6.36,-2.75,16.2,51.8,.511,.710,22,15,10,10
59,50.2,6.8,.536,.310,.218,.360,31,8,4,2,5,1986,2202,Virginia Commonwealth,-0.17,6.80,20.3,53.2,.551,.742,23,14,15,8
60,55.2,5.2,.539,.330,.318,.447,31,10,7,4,5,2360,2590,Wake Forest,11.03,18.45,16.9,52.2,.576,.677,21,9,12,5
61,56.3,4.9,.518,.298,.294,.412,31,12,6,3,7,2449,2543,Washington,6.43,9.46,17.1,49.9,.556,.613,19,12,11,6
62,56.1,5.0,.518,.318,.286,.397,31,5,3,0,4,2049,2434,Western Michigan,-0.11,12.31,15.8,54.2,.556,.839,26,15,13,8
63,56.4,5.6,.503,.334,.292,.405,32,7,4,0,6,1823,2190,Wisconsin,7.49,18.96,13.7,52.0,.544,.781,25,12,15,5
64,54.4,4.2,.510,.367,.260,.378,37,11,6,3,6,2339,2635,Xavier,5.84,13.84,15.9,51.6,.543,.703,26,10,13,6
